sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,10.0,3.0,2.0,3.0,April
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,13.0,1.0,1.0,4.0,April
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,7.0,3.0,2.0,3.0,April
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,2.0,1.0,0.0,1.0,April
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0.0,0.0,0.0,0.0,April
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,4.0,0.0,0.0,4.0,April
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,0.0,0.0,0.0,April
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0.0,0.0,0.0,0.0,April
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,April
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2.0,0.0,0.0,0.0,April
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,April
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0.0,0.0,0.0,0.0,April
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,8.0,2.0,0.0,2.0,April
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,17.0,0.0,5.0,2.0,April
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,April
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1.0,0.0,0.0,0.0,April
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,6.0,1.0,3.0,2.0,April
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,April
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,April
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,3.0,1.0,1.0,1.0,April
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,15.0,4.0,2.0,2.0,April
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,30.0,16.0,8.0,8.0,April
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0.0,0.0,0.0,0.0,April
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0.0,0.0,0.0,0.0,April
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,309.0,67.0,83.0,90.0,April
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,6.0,0.0,2.0,1.0,April
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,21.0,1.0,12.0,3.0,April
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,29.0,7.0,7.0,12.0,April
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,7.0,4.0,2.0,1.0,April
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,12.0,1.0,1.0,1.0,April
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1.0,0.0,1.0,0.0,April
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0.0,0.0,0.0,0.0,April
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2.0,0.0,1.0,0.0,April
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,April
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,April
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,April
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,6.0,0.0,1.0,4.0,April
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,6.0,2.0,2.0,2.0,April
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0.0,0.0,0.0,0.0,April
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,April
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,6.0,2.0,1.0,1.0,April
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1.0,0.0,1.0,0.0,April
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0.0,0.0,0.0,0.0,April
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,94.0,12.0,19.0,26.0,April
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,95.0,13.0,25.0,21.0,April
