sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,24,2,1,5,August
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,18,3,1,1,August
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,18,3,4,1,August
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,13,3,5,1,August
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0,August
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,9,0,3,4,August
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0,August
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,0,0,0,August
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0,August
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2,0,0,0,August
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0,August
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0,August
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,15,2,1,1,August
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,40,2,4,4,August
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0,August
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0,August
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,18,2,7,2,August
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0,August
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0,August
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,6,1,1,0,August
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,38,4,6,5,August
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,66,4,7,7,August
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0,August
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0,August
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,548,74,52,63,August
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,14,5,2,2,August
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,45,5,6,4,August
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,56,13,5,3,August
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,15,0,1,3,August
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,25,5,2,4,August
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,0,0,August
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,3,0,0,0,August
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,1,0,0,August
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0,August
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0,August
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,August
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,10,5,0,0,August
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,12,0,1,3,August
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0,August
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,1,0,0,1,August
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,11,2,0,1,August
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1,0,0,0,August
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0,August
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,164,23,12,15,August
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,184,23,20,21,August
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,5,1,2,0,August
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,1191,172,128,167,August
48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,189,29,20,21,August
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0,August
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0,0,0,0,August
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0,0,0,0,August
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0,August
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0,0,0,0,August
