sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,,"Murder (Sec.302/303 IPC/103,104 BNS)",For gain,38.0,6.0,4.0,7.0,December
2,,"Murder (Sec.302/303 IPC/103,104 BNS)",Over Property Dispute,24.0,4.0,2.0,2.0,December
3,,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Personal Vendetta or enemity,25.0,2.0,2.0,2.0,December
4,,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Sexual jealousy,16.0,0.0,1.0,2.0,December
5,,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by burning,0.0,1.0,0.0,0.0,December
6,,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by other means,11.0,2.0,0.0,2.0,December
7,,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Communalism,0.0,0.0,0.0,0.0,December
8,,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Casteism,3.0,0.0,0.0,2.0,December
9,,"Murder (Sec.302/303 IPC/103,104 BNS)",Witch Craft (Sorcery),0.0,0.0,0.0,0.0,December
10,,"Murder (Sec.302/303 IPC/103,104 BNS)",For Human Sacrifice,2.0,0.0,1.0,0.0,December
11,,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,December
12,,"Murder (Sec.302/303 IPC/103,104 BNS)",For Political Reasons,0.0,0.0,0.0,0.0,December
13,,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Adultery,25.0,3.0,2.0,1.0,December
14,,"Murder (Sec.302/303 IPC/103,104 BNS)",Civil Disputes,57.0,6.0,4.0,2.0,December
15,,"Murder (Sec.302/303 IPC/103,104 BNS)",Electoral Gain,0.0,0.0,0.0,0.0,December
16,,"Murder (Sec.302/303 IPC/103,104 BNS)",Gang Rivalry,1.0,0.0,0.0,0.0,December
17,,"Murder (Sec.302/303 IPC/103,104 BNS)",Love Intrigue,25.0,2.0,3.0,1.0,December
18,,"Murder (Sec.302/303 IPC/103,104 BNS)",Professional ,0.0,0.0,0.0,0.0,December
19,,"Murder (Sec.302/303 IPC/103,104 BNS)",Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,December
20,,"Murder (Sec.302/303 IPC/103,104 BNS)",Rape with Murder,8.0,0.0,0.0,0.0,December
21,,"Murder (Sec.302/303 IPC/103,104 BNS)",Revenge/Enemity,59.0,7.0,2.0,6.0,December
22,,"Murder (Sec.302/303 IPC/103,104 BNS)",Sudden Quarrel,104.0,5.0,7.0,6.0,December
23,,"Murder (Sec.302/303 IPC/103,104 BNS)",Village Dispute,0.0,0.0,0.0,0.0,December
24,,"Murder (Sec.302/303 IPC/103,104 BNS)",Custodial,0.0,0.0,0.0,0.0,December
25,,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Other Causes,810.0,84.0,79.0,62.0,December
26,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Gain ,22.0,0.0,3.0,1.0,December
27,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Over Property Dispute,76.0,6.0,13.0,10.0,December
28,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Personal Vendetta or enemity,79.0,11.0,7.0,4.0,December
29,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Sexual jealousy,22.0,0.0,2.0,2.0,December
30,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Dowry other Means,35.0,2.0,2.0,1.0,December
31,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Dowry By Burning,0.0,0.0,0.0,0.0,December
32,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Communalism,5.0,0.0,0.0,0.0,December
33,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Casteism,3.0,0.0,1.0,1.0,December
34,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,December
35,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Human Sacrifice,1.0,0.0,1.0,0.0,December
36,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,December
37,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Political Reasons,12.0,1.0,1.0,2.0,December
38,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Adultery,14.0,2.0,0.0,1.0,December
39,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Electoral Gain,2.0,0.0,0.0,1.0,December
40,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Gang Rivalry,1.0,0.0,0.0,0.0,December
41,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Love Intrigue,18.0,4.0,6.0,0.0,December
42,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Professional ,3.0,3.0,0.0,0.0,December
43,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Rape,0.0,0.0,0.0,0.0,December
44,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Revenge/Enemity,253.0,17.0,23.0,23.0,December
45,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Sudden Quarrel,274.0,12.0,30.0,28.0,December
46,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Village Dispute,9.0,0.0,0.0,1.0,December
47,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Other Causes,1764.0,127.0,153.0,146.0,December
48,,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Civil Disputes,273.0,27.0,11.0,35.0,December
49,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Gain,0.0,0.0,0.0,0.0,December
50,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Over Civil Dispute,1.0,0.0,0.0,0.0,December
51,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Personal Vendetta or enemity,0.0,0.0,0.0,0.0,December
52,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Sexual jealousy,0.0,0.0,0.0,0.0,December
53,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Dowry,0.0,0.0,0.0,0.0,December
54,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Communalism,0.0,0.0,0.0,0.0,December
55,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Casteism,0.0,0.0,0.0,0.0,December
56,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,December
57,,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Human Sacrifice,2.0,0.0,0.0,0.0,December
