sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,5,4,3,2,February
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,7,3,2,5,February
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,1,3,1,0,February
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,1,1,0,1,February
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0,February
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,1,0,1,0,February
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0,February
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,0,0,0,February
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0,February
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2,0,2,0,February
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0,February
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0,February
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,5,3,2,3,February
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,9,7,4,5,February
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0,February
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,1,February
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,1,4,1,0,February
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0,February
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0,February
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,1,0,0,1,February
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,12,7,4,8,February
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,13,9,7,6,February
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0,February
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0,February
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,136,77,56,80,February
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,2,3,1,1,February
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,6,12,2,4,February
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,10,7,6,4,February
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,4,4,2,2,February
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,11,4,7,4,February
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,0,0,February
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0,2,0,0,February
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,1,0,0,1,February
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0,February
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0,February
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,February
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,1,0,1,0,February
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,2,0,1,1,February
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0,February
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0,0,0,0,February
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,4,0,3,1,February
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,0,1,0,0,February
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0,February
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,49,31,23,26,February
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,49,18,26,23,February
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,1,0,0,1,February
