sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,3.0,2.0,4.0,3.0,January
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,2.0,0.0,4.0,2.0,January
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,1.0,1.0,2.0,1.0,January
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,0.0,2.0,0.0,0.0,January
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0.0,0.0,0.0,0.0,January
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,1.0,0.0,3.0,1.0,January
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,0.0,0.0,0.0,January
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0.0,0.0,0.0,0.0,January
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,January
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2.0,0.0,0.0,2.0,January
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,January
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0.0,0.0,0.0,0.0,January
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,2.0,5.0,3.0,2.0,January
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,4.0,5.0,6.0,4.0,January
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,January
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,January
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,1.0,1.0,2.0,1.0,January
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,January
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,January
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,0.0,1.0,0.0,0.0,January
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,4.0,1.0,7.0,4.0,January
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,7.0,10.0,5.0,7.0,January
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0.0,0.0,0.0,0.0,January
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0.0,0.0,0.0,0.0,January
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,54.0,76.0,86.0,54.0,January
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,1.0,2.0,1.0,1.0,January
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,2.0,10.0,6.0,2.0,January
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,6.0,9.0,11.0,6.0,January
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,2.0,0.0,0.0,2.0,January
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,7.0,2.0,2.0,7.0,January
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0.0,0.0,0.0,0.0,January
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0.0,1.0,0.0,0.0,January
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0.0,1.0,0.0,0.0,January
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,January
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,January
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,January
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,1.0,1.0,1.0,1.0,January
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,1.0,0.0,2.0,1.0,January
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0.0,0.0,0.0,0.0,January
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0.0,1.0,0.0,0.0,January
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,3.0,3.0,4.0,3.0,January
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,0.0,1.0,3.0,0.0,January
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0.0,0.0,0.0,0.0,January
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,24.0,15.0,19.0,24.0,January
