sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1.0,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,15.0,3.0,5.0,0.0,June
2.0,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,15.0,2.0,1.0,2.0,June
3.0,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,13.0,3.0,3.0,3.0,June
4.0,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,6.0,3.0,2.0,0.0,June
5.0,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0.0,0.0,0.0,0.0,June
6.0,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,4.0,0.0,0.0,1.0,June
7.0,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,1.0,0.0,0.0,June
8.0,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0.0,1.0,0.0,0.0,June
9.0,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,June
10.0,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2.0,0.0,0.0,0.0,June
11.0,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,June
12.0,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0.0,0.0,0.0,0.0,June
13.0,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,13.0,2.0,3.0,2.0,June
14.0,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,33.0,5.0,10.0,5.0,June
15.0,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,June
16.0,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1.0,0.0,0.0,0.0,June
17.0,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,9.0,2.0,1.0,0.0,June
18.0,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,June
19.0,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,June
