sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,15.0,3.0,3.0,5.0,May
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,13.0,4.0,4.0,1.0,May
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,10.0,3.0,3.0,3.0,May
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,4.0,2.0,1.0,2.0,May
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0.0,0.0,0.0,0.0,May
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,3.0,2.0,3.0,0.0,May
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,0.0,0.0,0.0,May
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0.0,0.0,0.0,0.0,May
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,May
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2.0,0.0,0.0,0.0,May
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,May
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0.0,0.0,0.0,0.0,May
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,11.0,2.0,2.0,3.0,May
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,26.0,8.0,2.0,9.0,May
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,May
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1.0,0.0,0.0,0.0,May
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,8.0,0.0,2.0,1.0,May
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,May
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,May
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,5.0,3.0,1.0,1.0,May
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,23.0,3.0,2.0,8.0,May
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,38.0,4.0,8.0,9.0,May
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0.0,0.0,0.0,0.0,May
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0.0,0.0,0.0,0.0,May
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,383.0,76.0,94.0,71.0,May
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,8.0,4.0,1.0,3.0,May
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,29.0,4.0,3.0,7.0,May
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,43.0,6.0,12.0,14.0,May
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,10.0,2.0,1.0,2.0,May
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,17.0,5.0,1.0,5.0,May
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1.0,0.0,0.0,0.0,May
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,3.0,0.0,0.0,3.0,May
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2.0,1.0,0.0,0.0,May
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,May
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,May
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,May
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,8.0,12.0,4.0,2.0,May
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,8.0,3.0,2.0,2.0,May
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0.0,0.0,0.0,0.0,May
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,May
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,9.0,3.0,1.0,3.0,May
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1.0,0.0,0.0,0.0,May
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0.0,0.0,0.0,0.0,May
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,111.0,13.0,23.0,21.0,May
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,134.0,17.0,23.0,37.0,May
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,2.0,0.0,0.0,0.0,May
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,803.0,134.0,181.0,199.0,May
48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,117.0,16.0,22.0,26.0,May
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0.0,0.0,0.0,0.0,May
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0.0,0.0,0.0,0.0,May
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0.0,0.0,0.0,0.0,May
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0.0,0.0,0.0,0.0,May
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0.0,1.0,0.0,0.0,May
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0.0,0.0,0.0,0.0,May
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0.0,0.0,0.0,0.0,May
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,May
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,1.0,0.0,0.0,0.0,May
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,May
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0.0,0.0,0.0,0.0,May
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0.0,0.0,0.0,0.0,May
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,1.0,0.0,0.0,1.0,May
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,0.0,0.0,0.0,0.0,May
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,May
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0.0,0.0,0.0,0.0,May
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0.0,0.0,0.0,0.0,May
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,9.0,0.0,0.0,2.0,May
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Other Causes,42.0,2.0,9.0,6.0,May
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,0.0,0.0,0.0,0.0,May
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,3.0,0.0,0.0,2.0,May
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0.0,0.0,0.0,0.0,May
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0.0,0.0,0.0,0.0,May
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0.0,0.0,0.0,0.0,May
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0.0,0.0,0.0,0.0,May
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0.0,0.0,0.0,0.0,May
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,May
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,May
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,May
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,1.0,3.0,1.0,0.0,May
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,24.0,1.0,7.0,6.0,May
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0.0,0.0,0.0,0.0,May
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,1.0,0.0,0.0,1.0,May
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,0.0,0.0,0.0,0.0,May
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,May
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0.0,0.0,0.0,0.0,May
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,1.0,0.0,1.0,0.0,May
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,5.0,0.0,1.0,2.0,May
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,1.0,0.0,0.0,0.0,May
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,4.0,1.0,1.0,1.0,May
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,8.0,0.0,1.0,2.0,May
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0.0,0.0,0.0,0.0,May
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,1.0,0.0,0.0,1.0,May
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,1.0,1.0,0.0,1.0,May
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,23.0,1.0,6.0,5.0,May
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,20.0,5.0,3.0,2.0,May
95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0.0,0.0,0.0,0.0,May
96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0.0,0.0,0.0,0.0,May
97,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,0.0,0.0,0.0,0.0,May
98,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,164.0,26.0,31.0,53.0,May
99,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,3.0,2.0,0.0,1.0,May
100,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Due to Other Causes,54.0,13.0,9.0,14.0,May
101,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0.0,0.0,0.0,0.0,May
102,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,374.0,69.0,58.0,66.0,May
