sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,32.0,4.0,3.0,4.0,November
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,22.0,2.0,2.0,2.0,November
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,22.0,1.0,0.0,1.0,November
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,14.0,0.0,0.0,1.0,November
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0.0,0.0,0.0,0.0,November
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,10.0,2.0,1.0,0.0,November
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,0.0,0.0,0.0,November
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1.0,0.0,0.0,0.0,November
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,November
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2.0,0.0,0.0,1.0,November
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,November
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0.0,0.0,0.0,0.0,November
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,23.0,1.0,3.0,1.0,November
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,54.0,8.0,5.0,4.0,November
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,November
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1.0,0.0,0.0,0.0,November
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,23.0,2.0,2.0,2.0,November
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,November
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,November
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,8.0,0.0,0.0,0.0,November
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,53.0,2.0,7.0,2.0,November
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,94.0,8.0,10.0,3.0,November
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0.0,0.0,0.0,0.0,November
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0.0,0.0,0.0,0.0,November
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,751.0,66.0,66.0,81.0,November
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,21.0,1.0,3.0,3.0,November
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,67.0,2.0,3.0,13.0,November
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,75.0,7.0,6.0,7.0,November
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,20.0,0.0,3.0,2.0,November
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,34.0,2.0,3.0,2.0,November
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0.0,1.0,0.0,0.0,November
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,5.0,2.0,1.0,0.0,November
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2.0,0.0,0.0,1.0,November
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,November
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,1.0,0.0,0.0,1.0,November
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,November
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,11.0,1.0,0.0,1.0,November
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,13.0,1.0,2.0,0.0,November
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,1.0,0.0,0.0,0.0,November
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,1.0,0.0,0.0,0.0,November
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,18.0,0.0,0.0,6.0,November
