sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,28,0,2,3,October
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,20,3,1,2,October
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,21,2,2,0,October
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,13,2,0,0,October
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0,October
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,11,1,2,1,October
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0,October
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,0,October
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0,October
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,0,0,October
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0,October
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0,October
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,22,1,1,3,October
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,49,3,5,4,October
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0,October
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0,October
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,21,0,3,2,October
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0,October
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0,October
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,8,1,0,0,October
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,51,10,6,7,October
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,89,10,12,9,October
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0,October
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0,October
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,669,82,61,66,October
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,18,3,1,3,October
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,54,1,7,3,October
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,68,9,7,6,October
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,18,0,0,3,October
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,32,3,4,3,October
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,0,0,October
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,5,2,1,1,October
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,0,0,0,October
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0,October
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0,October
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,October
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,10,2,0,0,October
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,13,1,0,2,October
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,1,0,1,0,October
