sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,25.0,0.0,4.0,2.0,September
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,17.0,1.0,1.0,0.0,September
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,20.0,2.0,2.0,1.0,September
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,13.0,3.0,1.0,0.0,September
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0.0,1.0,0.0,0.0,September
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,11.0,4.0,4.0,2.0,September
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,0.0,0.0,0.0,September
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1.0,0.0,0.0,0.0,September
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,September
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1.0,0.0,0.0,0.0,September
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,September
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0.0,0.0,0.0,0.0,September
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,19.0,1.0,2.0,1.0,September
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,45.0,7.0,4.0,5.0,September
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,September
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1.0,0.0,0.0,0.0,September
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,18.0,3.0,2.0,2.0,September
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,September
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,September
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,7.0,1.0,1.0,0.0,September
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,44.0,3.0,5.0,6.0,September
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,78.0,10.0,10.0,10.0,September
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0.0,0.0,0.0,0.0,September
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0.0,0.0,0.0,0.0,September
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,607.0,55.0,59.0,64.0,September
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,15.0,2.0,2.0,1.0,September
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,52.0,5.0,4.0,7.0,September
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,63.0,14.0,3.0,7.0,September
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,15.0,1.0,3.0,0.0,September
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,29.0,2.0,4.0,4.0,September
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1.0,0.0,0.0,0.0,September
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,4.0,0.0,0.0,1.0,September
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,3.0,0.0,0.0,1.0,September
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,September
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,September
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,September
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,10.0,0.0,0.0,0.0,September
