Sl. No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,15,3,5,0,,
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,15,2,1,2,,
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,13,3,3,3,,
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,6,3,2,0,,
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0,,
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,4,0,0,1,,
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,1,0,0,,
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,1,0,0,,
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0,,
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2,0,0,0,,
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0,,
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0,,
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,13,2,3,2,,
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,33,5,10,5,,
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0,,
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0,,
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,9,2,1,0,,
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0,,
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0,,
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,5,0,1,0,,
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,26,4,8,3,,
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,53,10,10,12,,
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0,,
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0,,
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,437,80,71,61,,
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,10,0,3,2,,
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,36,4,7,7,,
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,48,9,14,5,,
